hostname,vip
lfscac021201.gala.convection.cn,LFVIP4
lfscac021202.gala.convection.cn,LFVIP4
lfscac021203.gala.convection.cn,LFVIP4
lfscac021301.gala.convection.cn,LFVIP5
lfscac021302.gala.convection.cn,LFVIP5
lfscac021303.gala.convection.cn,LFVIP5
lfscac021401.gala.convection.cn,LFVIP2
lfscac021402.gala.convection.cn,LFVIP2
lfscac021403.gala.convection.cn,LFVIP2
lfscac021501.gala.convection.cn,LFVIP5
lfscac021502.gala.convection.cn,LFVIP5
lfscac021503.gala.convection.cn,LFVIP5
lfscac021601.gala.convection.cn,LFVIP5
lfscac021602.gala.convection.cn,LFVIP5
lfscac021603.gala.convection.cn,LFVIP5
lfscac021701.gala.convection.cn,LFVIP5
lfscac021702.gala.convection.cn,LFVIP5
lfscac021703.gala.convection.cn,LFVIP5
lfscac021801.gala.convection.cn,LFVIP5
lfscac021802.gala.convection.cn,LFVIP5
lfscac021803.gala.convection.cn,LFVIP5
lfscac021901.gala.convection.cn,LFVIP6
lfscac021902.gala.convection.cn,LFVIP6
lfscac021903.gala.convection.cn,LFVIP6
lfscac022001.gala.convection.cn,LFVIP6
lfscac022002.gala.convection.cn,LFVIP6
lfscac022003.gala.convection.cn,LFVIP6
lfscac022101.gala.convection.cn,LFVIP6
lfscac022102.gala.convection.cn,LFVIP6
lfscac022103.gala.convection.cn,LFVIP6
lfscac032101.gala.convection.cn,LFVIP6
lfscac032102.gala.convection.cn,LFVIP6
lfscac032103.gala.convection.cn,LFVIP6
lfscac042101.gala.convection.cn,LFVIP6
lfscac042102.gala.convection.cn,LFVIP6
lfscac042103.gala.convection.cn,LFVIP6
tjscac030401.gala.convection.cn,TJVIP1
tjscac030402.gala.convection.cn,TJVIP1
tjscac030403.gala.convection.cn,TJVIP1
tjscac030404.gala.convection.cn,TJVIP2
tjscac030405.gala.convection.cn,TJVIP2
tjscac030406.gala.convection.cn,TJVIP2
tjscac030407.gala.convection.cn,TJVIP3
tjscac030408.gala.convection.cn,TJVIP3
tjscac030409.gala.convection.cn,TJVIP3
tjscac030501.gala.convection.cn,TJVIP1
tjscac030502.gala.convection.cn,TJVIP1
tjscac030503.gala.convection.cn,TJVIP1
tjscac030504.gala.convection.cn,TJVIP2
tjscac030505.gala.convection.cn,TJVIP2
tjscac030506.gala.convection.cn,TJVIP2
tjscac030507.gala.convection.cn,TJVIP3
tjscac030508.gala.convection.cn,TJVIP3
tjscac030509.gala.convection.cn,TJVIP3
tjscac030601.gala.convection.cn,TJVIP1
tjscac030602.gala.convection.cn,TJVIP1
tjscac030603.gala.convection.cn,TJVIP1
tjscac030604.gala.convection.cn,TJVIP2
tjscac030605.gala.convection.cn,TJVIP2
tjscac030606.gala.convection.cn,TJVIP2
tjscac030607.gala.convection.cn,TJVIP3
tjscac030608.gala.convection.cn,TJVIP3
tjscac030609.gala.convection.cn,TJVIP3
tjscac030701.gala.convection.cn,TJVIP4
tjscac030702.gala.convection.cn,TJVIP4
tjscac030703.gala.convection.cn,TJVIP4
tjscac030704.gala.convection.cn,TJVIP5
tjscac030705.gala.convection.cn,TJVIP5
tjscac030706.gala.convection.cn,TJVIP5
tjscac030707.gala.convection.cn,TJVIP6
tjscac030708.gala.convection.cn,TJVIP6
tjscac030709.gala.convection.cn,TJVIP6
tjscac030801.gala.convection.cn,TJVIP4
tjscac030802.gala.convection.cn,TJVIP4
tjscac030803.gala.convection.cn,TJVIP4
tjscac030804.gala.convection.cn,TJVIP5
tjscac030805.gala.convection.cn,TJVIP5
tjscac030806.gala.convection.cn,TJVIP5
tjscac030807.gala.convection.cn,TJVIP6
tjscac030808.gala.convection.cn,TJVIP6
tjscac030809.gala.convection.cn,TJVIP6
tjscac040401.gala.convection.cn,TJVIP1
tjscac040402.gala.convection.cn,TJVIP1
tjscac040403.gala.convection.cn,TJVIP1
tjscac040404.gala.convection.cn,TJVIP2
tjscac040405.gala.convection.cn,TJVIP2
tjscac040406.gala.convection.cn,TJVIP2
tjscac040407.gala.convection.cn,TJVIP3
tjscac040408.gala.convection.cn,TJVIP3
tjscac040409.gala.convection.cn,TJVIP3
tjscac040501.gala.convection.cn,TJVIP1
tjscac040502.gala.convection.cn,TJVIP1
tjscac040503.gala.convection.cn,TJVIP1
tjscac040504.gala.convection.cn,TJVIP2
tjscac040505.gala.convection.cn,TJVIP2
tjscac040506.gala.convection.cn,TJVIP2
tjscac040507.gala.convection.cn,TJVIP3
tjscac040508.gala.convection.cn,TJVIP3
tjscac040509.gala.convection.cn,TJVIP3
tjscac040801.gala.convection.cn,TJVIP4
tjscac040802.gala.convection.cn,TJVIP4
tjscac040803.gala.convection.cn,TJVIP4
tjscac040804.gala.convection.cn,TJVIP5
tjscac040805.gala.convection.cn,TJVIP5
tjscac040806.gala.convection.cn,TJVIP5
tjscac040807.gala.convection.cn,TJVIP6
tjscac040808.gala.convection.cn,TJVIP6
tjscac040809.gala.convection.cn,TJVIP6
tjscac040901.gala.convection.cn,TJVIP4
tjscac040902.gala.convection.cn,TJVIP4
tjscac040903.gala.convection.cn,TJVIP4
tjscac040904.gala.convection.cn,TJVIP5
tjscac040905.gala.convection.cn,TJVIP5
tjscac040906.gala.convection.cn,TJVIP5
tjscac040907.gala.convection.cn,TJVIP6
tjscac040908.gala.convection.cn,TJVIP6
tjscac040909.gala.convection.cn,TJVIP6
tjscac041001.gala.convection.cn,TJVIP4
tjscac041002.gala.convection.cn,TJVIP4
tjscac041003.gala.convection.cn,TJVIP4
tjscac041004.gala.convection.cn,TJVIP5
tjscac041005.gala.convection.cn,TJVIP5
tjscac041006.gala.convection.cn,TJVIP5
tjscac041007.gala.convection.cn,TJVIP6
tjscac041008.gala.convection.cn,TJVIP6
tjscac041009.gala.convection.cn,TJVIP6
tsscac010801.gala.convection.cn,TSVIP3
tsscac010802.gala.convection.cn,TSVIP3
tsscac010803.gala.convection.cn,TSVIP3
tsscac010901.gala.convection.cn,TSVIP1
tsscac010902.gala.convection.cn,TSVIP1
tsscac010903.gala.convection.cn,TSVIP1
tsscac011001.gala.convection.cn,TSVIP1
tsscac011002.gala.convection.cn,TSVIP1
tsscac011003.gala.convection.cn,TSVIP1
tsscac011101.gala.convection.cn,TSVIP1
tsscac011102.gala.convection.cn,TSVIP1
tsscac011103.gala.convection.cn,TSVIP1
tsscac011201.gala.convection.cn,TSVIP1
tsscac011202.gala.convection.cn,TSVIP1
tsscac011203.gala.convection.cn,TSVIP1
tsscac011301.gala.convection.cn,TSVIP1
tsscac011302.gala.convection.cn,TSVIP1
tsscac011303.gala.convection.cn,TSVIP2
tsscac011401.gala.convection.cn,TSVIP3
tsscac011402.gala.convection.cn,TSVIP3
tsscac011403.gala.convection.cn,TSVIP3
tsscac011501.gala.convection.cn,TSVIP3
tsscac011502.gala.convection.cn,TSVIP3
tsscac011503.gala.convection.cn,TSVIP3
tsscac011601.gala.convection.cn,TSVIP3
tsscac011602.gala.convection.cn,TSVIP3
tsscac011603.gala.convection.cn,TSVIP3
tsscac011701.gala.convection.cn,TSVIP3
tsscac011702.gala.convection.cn,TSVIP3
tsscac011703.gala.convection.cn,TSVIP3
tsscac011801.gala.convection.cn,TSVIP4
tsscac011802.gala.convection.cn,TSVIP4
tsscac011803.gala.convection.cn,TSVIP4
tsscac020801.gala.convection.cn,TSVIP4
tsscac020802.gala.convection.cn,TSVIP4
tsscac020803.gala.convection.cn,TSVIP4
tsscac020901.gala.convection.cn,TSVIP1
tsscac020902.gala.convection.cn,TSVIP2
tsscac020903.gala.convection.cn,TSVIP2
tsscac021001.gala.convection.cn,TSVIP2
tsscac021002.gala.convection.cn,TSVIP2
tsscac021003.gala.convection.cn,TSVIP2
tsscac021101.gala.convection.cn,TSVIP2
tsscac021102.gala.convection.cn,TSVIP2
tsscac021103.gala.convection.cn,TSVIP2
tsscac021201.gala.convection.cn,TSVIP2
tsscac021202.gala.convection.cn,TSVIP2
tsscac021203.gala.convection.cn,TSVIP2
tsscac021301.gala.convection.cn,TSVIP2
tsscac021302.gala.convection.cn,TSVIP2
tsscac021303.gala.convection.cn,TSVIP2
tsscac021401.gala.convection.cn,TSVIP4
tsscac021402.gala.convection.cn,TSVIP4
tsscac021403.gala.convection.cn,TSVIP4
tsscac021501.gala.convection.cn,TSVIP4
tsscac021502.gala.convection.cn,TSVIP4
tsscac021503.gala.convection.cn,TSVIP4
tsscac021601.gala.convection.cn,TSVIP4
tsscac021602.gala.convection.cn,TSVIP4
tsscac021603.gala.convection.cn,TSVIP4
tsscac021701.gala.convection.cn,TSVIP5
tsscac021702.gala.convection.cn,TSVIP5
tsscac021703.gala.convection.cn,TSVIP5
tsscac021801.gala.convection.cn,TSVIP5
tsscac021802.gala.convection.cn,TSVIP5
tsscac021803.gala.convection.cn,TSVIP5
tsscac030101.gala.convection.cn,TSVIP5
tsscac030102.gala.convection.cn,TSVIP5
tsscac030103.gala.convection.cn,TSVIP5
tsscac030201.gala.convection.cn,TSVIP5
tsscac030202.gala.convection.cn,TSVIP5
tsscac030203.gala.convection.cn,TSVIP5
tsscac030301.gala.convection.cn,TSVIP5
tsscac030302.gala.convection.cn,TSVIP5
tsscac030303.gala.convection.cn,TSVIP5
tsscac030401.gala.convection.cn,TSVIP6
tsscac030402.gala.convection.cn,TSVIP6
tsscac030403.gala.convection.cn,TSVIP6
tsscac040101.gala.convection.cn,TSVIP6
tsscac040102.gala.convection.cn,TSVIP6
tsscac040103.gala.convection.cn,TSVIP6
tsscac040201.gala.convection.cn,TSVIP6
tsscac040202.gala.convection.cn,TSVIP6
tsscac040203.gala.convection.cn,TSVIP6
tsscac040301.gala.convection.cn,TSVIP6
tsscac040302.gala.convection.cn,TSVIP6
tsscac040303.gala.convection.cn,TSVIP6
tsscac040401.gala.convection.cn,TSVIP6
tsscac040402.gala.convection.cn,TSVIP6
tsscac040403.gala.convection.cn,TSVIP6
