hostname,vip
njscac4m1505.albatross.10086.cn,NJAC1
njscac4m1601.albatross.10086.cn,NJAC2
njscac4m1602.albatross.10086.cn,NJAC2
njscac4m1603.albatross.10086.cn,NJAC2
njscac4m1604.albatross.10086.cn,NJAC2
njscac4m1701.albatross.10086.cn,NJAC2
njscac4m1702.albatross.10086.cn,NJAC2
njscac4m1703.albatross.10086.cn,NJAC2
njscac4m1704.albatross.10086.cn,NJAC2
njscac4m1801.albatross.10086.cn,NJAC6
njscac4m1802.albatross.10086.cn,NJAC6
njscac4m1803.albatross.10086.cn,NJAC5
njscac4m1804.albatross.10086.cn,NJAC5
njscac4m1805.albatross.10086.cn,NJAC5
njscac4n0401.albatross.10086.cn,NJAC4
njscac4n0402.albatross.10086.cn,NJAC4
njscac4n0403.albatross.10086.cn,NJAC3
njscac4n0404.albatross.10086.cn,NJAC3
njscac4n0405.albatross.10086.cn,NJAC3
njscac4n0406.albatross.10086.cn,NJAC2
njscac4n0501.albatross.10086.cn,NJAC4
njscac4n0502.albatross.10086.cn,NJAC4
njscac4n0503.albatross.10086.cn,NJAC3
njscac4n0504.albatross.10086.cn,NJAC3
njscac4n0505.albatross.10086.cn,NJAC3
njscac4n0601.albatross.10086.cn,NJAC4
njscac4n0602.albatross.10086.cn,NJAC4
njscac4n0603.albatross.10086.cn,NJAC3
njscac4n0604.albatross.10086.cn,NJAC3
njscac4n0605.albatross.10086.cn,NJAC3
njscac4n0701.albatross.10086.cn,NJAC4
njscac4n0702.albatross.10086.cn,NJAC4
njscac4n0703.albatross.10086.cn,NJAC4
njscac4n0704.albatross.10086.cn,NJAC3
njscac4n0705.albatross.10086.cn,NJAC3
njscac4n0801.albatross.10086.cn,NJAC4
njscac4n0802.albatross.10086.cn,NJAC4
njscac4n0803.albatross.10086.cn,NJAC4
njscac4n0804.albatross.10086.cn,NJAC3
njscac4n0805.albatross.10086.cn,NJAC3
njscac4n0901.albatross.10086.cn,NJAC4
njscac4n0902.albatross.10086.cn,NJAC4
njscac4n0903.albatross.10086.cn,NJAC4
njscac4n0904.albatross.10086.cn,NJAC3
njscac4n0905.albatross.10086.cn,NJAC3
njscac4n1001.albatross.10086.cn,NJAC6
njscac4n1002.albatross.10086.cn,NJAC6
njscac4n1003.albatross.10086.cn,NJAC5
njscac4n1004.albatross.10086.cn,NJAC5
njscac4n1005.albatross.10086.cn,NJAC5
njscac4n1101.albatross.10086.cn,NJAC6
njscac4n1102.albatross.10086.cn,NJAC6
njscac4n1103.albatross.10086.cn,NJAC5
njscac4n1104.albatross.10086.cn,NJAC5
njscac4n1105.albatross.10086.cn,NJAC5
njscac4n1201.albatross.10086.cn,NJAC6
njscac4n1202.albatross.10086.cn,NJAC6
njscac4n1203.albatross.10086.cn,NJAC6
njscac4n1204.albatross.10086.cn,NJAC5
njscac4n1205.albatross.10086.cn,NJAC5
njscac4n1301.albatross.10086.cn,NJAC6
njscac4n1302.albatross.10086.cn,NJAC6
njscac4n1303.albatross.10086.cn,NJAC6
njscac4n1304.albatross.10086.cn,NJAC5
njscac4n1305.albatross.10086.cn,NJAC5
njscac4n1401.albatross.10086.cn,NJAC6
njscac4n1402.albatross.10086.cn,NJAC6
njscac4n1403.albatross.10086.cn,NJAC6
njscac4n1404.albatross.10086.cn,NJAC5
njscac4n1405.albatross.10086.cn,NJAC5
tjscaca0201.albatross.10086.cn,TJAC2
tjscaca0202.albatross.10086.cn,TJAC2
tjscaca0203.albatross.10086.cn,TJAC2
tjscaca0204.albatross.10086.cn,TJAC2
tjscaca0301.albatross.10086.cn,TJAC2
tjscaca0302.albatross.10086.cn,TJAC2
tjscaca0303.albatross.10086.cn,TJAC2
tjscaca0304.albatross.10086.cn,TJAC2
tjscaca0401.albatross.10086.cn,TJAC2
tjscaca0402.albatross.10086.cn,TJAC2
tjscaca0403.albatross.10086.cn,TJAC2
tjscaca0404.albatross.10086.cn,TJAC2
tjscaca0405.albatross.10086.cn,TJAC1
tjscaca0501.albatross.10086.cn,TJAC1
tjscaca0502.albatross.10086.cn,TJAC1
tjscaca0503.albatross.10086.cn,TJAC1
tjscaca0601.albatross.10086.cn,TJAC1
tjscaca0602.albatross.10086.cn,TJAC1
tjscaca0603.albatross.10086.cn,TJAC1
tjscaca0701.albatross.10086.cn,TJAC1
tjscaca0702.albatross.10086.cn,TJAC1
tjscaca0703.albatross.10086.cn,TJAC1
tjscaca0801.albatross.10086.cn,TJAC1
tjscaca0802.albatross.10086.cn,TJAC1
tjscaca0803.albatross.10086.cn,TJAC1
tjscaca0901.albatross.10086.cn,TJAC1
tjscaca0902.albatross.10086.cn,TJAC1
tjscaca1001.albatross.10086.cn,TJAC2
tjscaca1002.albatross.10086.cn,TJAC2
tjscacb0101.albatross.10086.cn,TJAC6
tjscacb0102.albatross.10086.cn,TJAC6
tjscacb0103.albatross.10086.cn,TJAC6
tjscacb0104.albatross.10086.cn,TJAC5
tjscacb0105.albatross.10086.cn,TJAC5
tjscacb0201.albatross.10086.cn,TJAC6
tjscacb0202.albatross.10086.cn,TJAC6
tjscacb0203.albatross.10086.cn,TJAC6
tjscacb0204.albatross.10086.cn,TJAC5
tjscacb0205.albatross.10086.cn,TJAC5
tjscacb0301.albatross.10086.cn,TJAC6
tjscacb0302.albatross.10086.cn,TJAC6
tjscacb0303.albatross.10086.cn,TJAC6
tjscacb0304.albatross.10086.cn,TJAC5
tjscacb0305.albatross.10086.cn,TJAC5
tjscacb0401.albatross.10086.cn,TJAC6
tjscacb0402.albatross.10086.cn,TJAC6
tjscacb0403.albatross.10086.cn,TJAC5
tjscacb0404.albatross.10086.cn,TJAC5
tjscacb0405.albatross.10086.cn,TJAC5
tjscacb0501.albatross.10086.cn,TJAC6
tjscacb0502.albatross.10086.cn,TJAC6
tjscacb0503.albatross.10086.cn,TJAC5
tjscacb0504.albatross.10086.cn,TJAC5
tjscacb0505.albatross.10086.cn,TJAC5
tjscacb0601.albatross.10086.cn,TJAC6
tjscacb0602.albatross.10086.cn,TJAC6
tjscacb0603.albatross.10086.cn,TJAC5
tjscacb0604.albatross.10086.cn,TJAC5
tjscacb0605.albatross.10086.cn,TJAC5
tjscacb0701.albatross.10086.cn,TJAC4
tjscacb0702.albatross.10086.cn,TJAC4
tjscacb0703.albatross.10086.cn,TJAC4
tjscacb0704.albatross.10086.cn,TJAC3
tjscacb0705.albatross.10086.cn,TJAC3
tjscacb0801.albatross.10086.cn,TJAC4
tjscacb0802.albatross.10086.cn,TJAC4
tjscacb0803.albatross.10086.cn,TJAC4
tjscacb0804.albatross.10086.cn,TJAC3
tjscacb0805.albatross.10086.cn,TJAC3
tjscacb0901.albatross.10086.cn,TJAC4
tjscacb0902.albatross.10086.cn,TJAC4
tjscacb0903.albatross.10086.cn,TJAC4
tjscacb0904.albatross.10086.cn,TJAC3
tjscacb0905.albatross.10086.cn,TJAC3
tjscacb1001.albatross.10086.cn,TJAC4
tjscacb1002.albatross.10086.cn,TJAC4
tjscacb1003.albatross.10086.cn,TJAC3
tjscacb1004.albatross.10086.cn,TJAC3
tjscacb1005.albatross.10086.cn,TJAC3
tjscacb1101.albatross.10086.cn,TJAC4
tjscacb1102.albatross.10086.cn,TJAC4
tjscacb1103.albatross.10086.cn,TJAC3
tjscacb1104.albatross.10086.cn,TJAC3
tjscacb1105.albatross.10086.cn,TJAC3
tjscacb1201.albatross.10086.cn,TJAC4
tjscacb1202.albatross.10086.cn,TJAC4
tjscacb1203.albatross.10086.cn,TJAC3
tjscacb1204.albatross.10086.cn,TJAC3
tjscacb1205.albatross.10086.cn,TJAC3
tjscacb1206.albatross.10086.cn,TJAC2
